usr_a7d59ec0-4e6a-4f94-ad37-972602b72958|<color=#ff0000>Furry<color=#ffffff>Core|#ff0033
usr_4c827343-d296-4ce4-bd2b-b1626dfdf78f|- jack -|#ff0000
usr_7dd8c2f2-6884-44c6-b9b2-490770b64a49|<size=120%>HORNY FURRY<size=90%>ELS Member|#ff0000
usr_29187716-6c4d-4215-9342-925b99fe4374|<size=220%>Aime les enfent#00ff51
usr_b2064755-0e06-4392-a8ae-c131e605a86b|- 6 7 Aryan -|#ff00bc
usr_d0b81f6d-daad-4a3b-989a-ccbf7cbd3b0e|Pro-Daech|#9c5757
usr_7ccd2262-a99b-4068-9492-59274dcf921a|KAPLOWIE|#FAFFF2
usr_22a4adcd-d0d7-4174-87bf-eea92d3d438c|- Boykisser -|#bf11f9
usr_3b09de1d-3e39-4fcd-a738-639408061f71|<size=120%>Gros PD.|#a600ff
usr_a9560a57-6908-411d-bd0a-a180d1bb4efa|<size=120%>I'm Blue|#0d00ff
usr_6b9a6d94-c542-4831-9948-a555ece0f870|BLEACHTECH|#CC6CE7
usr_e0afc989-2161-41e1-ae66-0f9ac14b764d|<color=#2A7B9B>s</color><color=#2F819E>t</color><color=#3488A2>a</color><color=#398EA6>t</color><color=#3E94AA>i</color><color=#439AAD>c</color><color=#489FB1> </color><color=#4DA5B5>u</color><color=#52ABB8>n</color><color=#57C785>s</color><color=#62C07B>a</color><color=#6DB971>f</color><color=#78B267>e</color><color=#83AB5D> </color><color=#8EA453>p</color><color=#99A04A>u</color><color=#A49C40>b</color><color=#AF9736>l</color><color=#BA932C>i</color><color=#C58E22>c</color><color=#D08918> </color><color=#DB850E>v</color><color=#E68004>o</color><color=#EDDD53>i</color><color=#EDDD53>d</color>|#bb00ff
usr_1f557712-8729-4d1c-acb7-7b065437eba3|will be offline for 2 week starting 25 this month|#ae00d1
usr_2e3953cc-f469-4b60-8601-73e19301d0c8|<color=#ff0000>E<color=#ff6200>c<color=#ff9d00>h<color=#ffd000>o|#6e004f
usr_c16a011e-f28c-4863-9cb6-1e2450b948fc|<size=920%>Meprex|#ff0055
usr_95310629-ff2a-48f0-9d27-856ae112a8d4|Cool person with face tracking|#AA00FF
usr_67c73861-eeb6-48aa-9fb7-e481d506977e|<color=#ffffff>Nostalgen <3|#280254
usr_2fb52e61-97cc-49c7-a498-ebd09861f117|<color=#9990e0>Speech Retard|#9990e0
usr_2c126447-5f12-4f74-9872-f8bb641ef76c|- jack -|#9215eb
usr_2c126447-5f12-4f74-9872-f8bb641ef76c|<color=#2A7B9Bc</color><color=#2F819E>a</color><color=#3488A2>t</color><color=#398EA6>b</color><color=#3E94AA>o</color><color=#439AAD>y</color><color=#489FB1> </color>
